DMC,EDDI,FFMC,GEOID,NDMI_mean,NDVI_mean,ann_dewpoint,ann_humidity,ann_precip,ann_temp,bfi,fall_frost_days,fire_frequency,first_fall_frost,frost_days,fuel_load,growing_season_days,heat_index,lai,last_spring_frost,pct_shrubland,pct_tree_cover,slope_deg,soil_organic_C,soil_pH,soil_quality_index,soil_texture,spring_frost_days,topo_index,wind_chill,Value
75.827102615139,0.3907142222930552,65.78150740159474,16057,0.2653962613252645,0.492066494238547,274.5100125460013,58.28445659142559,0.0843596084803896,282.2696614557499,0.0498254071948583,18.347404505868933,1.093087496255866,287.9864442138213,126.72886845624558,0.2774082944494651,227.9864442138213,74.94320080941608,5.956656768610748,60.0,0.0,0.2774082944494651,4.299162443686559,8.366531140061893,61.1276858914273,11.922132511829282,7.760914966314068,26.450879039595453,4.275637751246308,9.075669587938552,57.1
38.73744387229105,0.0486381085613953,58.04452991138103,16033,0.1997882807450607,0.2768122310981971,269.3950191046073,59.25554395181759,0.0443275855026904,276.6175320401364,0.0476885146751761,58.44859502436832,1.4386217360153648,262.65682642969585,209.53685545020852,0.1063940448762319,202.65682642969588,92.95446100237083,5.158435270736166,60.0,0.0,0.1063940448762319,4.623727794508754,6.17950151975162,69.86387133091527,10.0986582877701,7.017601992255631,62.5035863637066,4.657512926230367,3.7059137443619887,108.0
85.89267104475722,0.4252481963041309,65.62104048313716,16049,0.2810906296571055,0.4721916048455371,272.5710661230825,61.57262241828548,0.0957494232131576,279.4177500274868,0.0494592289697831,52.11879655295152,1.094399925962094,264.3241044285389,201.7351834945943,0.3758012597668945,204.3241044285388,83.65358866121437,5.701362448943592,60.0,0.0,0.3758012597668945,12.009837608100042,12.325142044708151,57.77564372656986,14.341424143980042,8.163034025270541,62.20551901149046,12.051100049624653,6.419384309365956,51.4
79.03396201589545,0.4037868707170816,66.19580177573162,16009,0.2811466396736801,0.5358263776221497,274.74594743084083,59.86123736151252,0.0879783161020949,282.1236695927107,0.0501466904569183,18.52249946899921,2.1363701614733115,287.69182596690405,129.28525700438317,0.347017308547023,227.69182596690416,75.30446032678591,5.967042817477602,60.0,0.0,0.347017308547023,6.147878052350978,11.07182752114531,58.18931126705166,13.17250132455207,7.693204499626401,28.849630713085794,6.184631829544921,8.675575871971965,48.7
58.482683282765095,0.0724844598542945,63.714440795651015,16029,0.2603454619428789,0.3475314463514603,272.018636172263,60.85996396573992,0.0660165737976733,279.0101530432672,0.0475347014347504,53.45975657520752,1.3307789740341986,262.6754923289685,208.88112358193203,0.1822590178000432,202.6754923289685,84.66256678612697,5.800476480083641,60.0,0.0,0.1822590178000432,5.141693521816587,7.538634538634968,66.39499201288919,10.839902674781325,7.109090121376632,68.6991301807639,5.100553441003152,5.606257734958666,49.0
70.58816261347245,0.0357351150813991,65.89651166178581,16061,0.2284859462491684,0.3838738855316467,275.1060340600637,59.96000440010997,0.0787218594297434,282.4861758871075,0.0488935656706618,26.66662931350144,2.0782410401157123,282.5609587873584,142.54000918572203,0.137075940162443,222.5609587873584,74.31365122171846,5.946109486637202,60.0,0.0,0.137075940162443,4.510731151922844,5.567436632268094,65.91173622213937,10.23325312968028,7.707423077166132,31.177510921855077,4.595195152813458,9.65580722818739,49.2
32.295210301961355,-0.4971826588266321,55.69905304824759,16067,0.1609670656486706,0.2749611972984105,272.0119145250732,45.541694253233935,0.0359050779044022,283.2463175394407,0.0436954789870504,22.08307988406464,1.2139028956936095,278.60367668198865,129.0921648299974,0.027873822023311,218.6036766819887,71.27055346058214,4.976894087929931,60.0,0.0,0.027873822023311,0.4805734080965115,2.9125416154396704,74.24014434167181,8.329210385218698,6.964407358731949,24.85808049234289,0.4955545307429302,9.654103134040753,111.9
70.09586791224197,0.0724836906238244,63.6632094258829,16025,0.2446860643731348,0.2724197766270099,270.12561276162853,59.57651079897271,0.0784414276760289,277.31958078332286,0.0456447881363918,56.14498119346898,1.0506854179984375,261.8539035395864,214.2986079868274,0.1327873098645492,201.8539035395864,90.68622253583648,5.04053447509415,60.0,0.0,0.1327873098645492,7.485255840479327,6.49130199728527,64.72974408452454,11.018638421475284,7.815662912076606,68.35250401643492,7.515398933681793,4.268837362177666,33.6
54.20409449898211,-0.0347012367993473,63.2669505426163,16041,0.2326530048607614,0.3581228458580466,272.6072058200258,57.38882788424752,0.0611501714009294,280.4731826393552,0.0462535439432431,39.43133966707597,1.0620230996956177,266.4737097522175,172.93568461907395,0.130427871952497,206.47370975221747,79.78733563039457,5.564939208638903,60.0,0.0,0.130427871952497,6.44518467634643,5.78090661803503,69.08905213272837,9.823106801200518,7.035690522010313,50.1568162568329,6.4374415928615,7.973798339073047,56.0
47.07380086818286,-0.0878621955935693,61.388204624170456,16005,0.2175402243190088,0.3522401758402461,272.6289329990814,54.13961661328516,0.0530627894481458,281.363546311382,0.0463445332893919,34.75471741042239,1.0340416509611758,266.8156212604888,162.88203712332017,0.1290816245077796,206.81562126048885,77.02082161556051,5.7550900216889085,60.0,0.0,0.1290816245077796,5.8357557424287,5.561526394537868,69.1451119488555,9.759669449650708,7.006309391902123,44.007473004624025,5.907658612683956,8.083775770688085,56.3
